nazwa,email,adresWWW,telefon,powiat
Niepubliczny Klub Malucha Za-Bawni,zabawni@zabawni.edu.pl,zabawni.edu.pl,177157767,Strzyżowski
KOLOROWY ŻŁOBEK,biuro@kolorowe-przedszkole.pl,https://kolorowe-przedszkole.pl,606613509,Dębicki
"Klub Dziecięcy ,Smerfowo",katarzynabrud@onet.eu,,600629676,Przeworski
Niepubliczny Żłobek Bajkowy Żłobek,fabiolasr@wp.pl,fecebook Bajkowy Żłobek,503622105,Mielecki
GMINNY ŻŁOBEK W DUKLI,zlobek@dukla.pl,http://zlobek.dukla.pl/,609788797,Krośnieński
Żłobek Miejski w Dębicy Filia nr 2,zlobekmiejski@zlobekdebica.pl,,146812414,Dębicki
Miejski Żłobek Integracyjny w Stalowej Woli,zlobek.integracyjny@stalowawola.pl,http://www.zlobek-inegracyjny.pl,158194055,Stalowowolski
Gminny Żłobek Wesołe Krasnoludki w Jasionce,gz.jasionka@gmail.com,zsjasionka.szkola.pl,177723017,Rzeszowski
Żłobek Miejski Kolorowe Nutki w Krośnie,sekretariat@zmkrosno.pl,zmkrosno.pl,134743980,Krosno
NIEPUBLICZNY ŻŁOBEK SŁONECZNY ZAKĄTEK,przedszkole_slonecznyzakatek@wp.pl,http://www.npslonecznyzakatek.pl,533038500,Rzeszowski
Żłobek Gwiazdeczka,zlobek@ostrow.gmina.pl,http://www.ostrow.gmina.pl,177222200,Ropczycko-sędziszowski
Gminny Żłobek Akademia Malucha w Świerzowej Polskiej,akademiamalucha@chorkowka.pl,http://www.akademiamalucha.chorkowka.pl,134318011,Krośnieński
Gminny Żłobek w Rymanowie (Zespół Żłobków Gminy Rymanów),dyrektor.zlobek@rymanow.pl,http://www.rymanow.pl,732602708,Krośnieński
Samorządowy Żłobek w Nowosielcach,szn@zarszyn.pl,http://www.zarszyn.pl,538405027,Sanocki
Niepubliczny Żłobek EncePence,encepence.lancut@gmail.com,http://www.encepence-lancut.pl,782750782,Łańcucki
PRYWATNY ŻŁOBEK ZIELONY MOTYLEK,JULIASZARGUT@ZIELONYMOTYLEK.PL,http://WWW.ZIELONYMOTYLEK.PL,698540532,Rzeszowski
Prywatny żłobek Bajkowy Zakątek,wcabaj@vp.pl,http://www.bajkowyzakatek.rzeszow.pl,693462302,Ropczycko-sędziszowski
Niepubliczny żłobek Wesołe Smyki w Rzeszowie,katarzynamatejek@gmail.com,http://www.wesolesmyki.com,517303800,Rzeszów
Tajemniczy Ogród,bazacentrum@onet.eu,,515152511,Przemyśl
Żłobek Miejski w Dębicy Filia nr 1,zlobekmiejski@zlobekdebica.pl,,146812414,Dębicki
Żłobek Miejski w Dynowie,m.peszek@dynow.nazwa.pl,http://www.dynow.pl,166701036,Rzeszowski
Żłobek Maluszkowo V,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517515555,Rzeszów
Niepubliczny Żłobek Mali Odkrywcy,waclawik.karolina@gmail.com,maliodkrywcy24.pl,697709281,Krosno
Miniakademia Bąbelkowo,joanna.piorun@gmail.com,,516135415,Stalowowolski
MISIETULISIE,MISIETULISIE.KLUBMALUCHA@O2.PL,,884900333,Rzeszowski
Zespół Żłobków Gminy Łańcut (Gminny Żłobek w Kraczkowej),zlobek.kraczkowa@gminalancut.pl,zlobek-kraczkowa.gminalancut.pl,721860863,Łańcucki
Żłobek Maluszkowo,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,512855155,Rzeszów
Żłobek PAŁACYK MALUCHA,RZESZOW@PALACYKMALUCHA.COM.PL,http://www.rzeszow.palacykmalucha.pl/,607141800,Rzeszów
Miejski Żłobek Radosny Zakątek,sekretariat@mz.jaroslaw.pl,mz.jaroslaw.pl,167363665,Jarosławski
Żłobek Promyczek,przedszkole.promyczek24@gmail.com,,166700350,Przemyśl
Gminny Żłobek Maluszek w Wielopolu Skrzyńskim,maluszek@wielopole.edu.pl,http://www.wielopole.eu,172769200,Ropczycko-sędziszowski
Żłobek Samorządowy w Jaworniku Polskim,dyrektor@gzzjawornikpolski.pl,http://www.jawornikpolski.itl.pl,506246580,Przeworski
Prywatny Tęczowy oddział żłobkowy,zofia.zwoliska1@o2.pl,,506039525,Przemyski
Publiczny Żłobek w Rakszawie,publicznyzlobek@rakszawa.pl,,172258069,Łańcucki
MUSIC GARDEN AGATA TKACZOW,muzycznemaluchy@gmail.com,przedszkolemuzyczne.edu.pl,518239319,Rzeszowski
Super Żłobek Tosia i Ja,justyna@grupampd.pl,http://www.tosiaija.rzeszow.pl,+48516967725,Rzeszów
Żłobek Miejski nr 2 w Tarnobrzegu,zlobek2@oswiata.tarnobrzeg.pl,http://www.tarnobrzeg.pl,158143414,Tarnobrzeg
Żłobek w Ustrobnej,zlobek@wojaszowka.pl,http://www.wojaszowka.pl   zakładka Rozwój Opieki Żłobkowej w Gminie Wojaszówka,133061364,Krośnieński
żłobek Puchatek  w Siedlance,k.kwasnik@niwiska.pl,,783165689,Kolbuszowski
Żłobek w Ostrowie,zlobekostrow@wp.pl,http://www.gac.pl,698670554,Przeworski
Żłobek Gminny w Nagawczynie,zlobek.nagawczyna@gzeas.pl,ugdebica.pl,146815427,Dębicki
Żłobek EKOMALUCHY,ekomaluchy@interia.pl,,791752347,Lubaczowski
Niepubliczny Żłobek Guziczek,kontakt@zlobek-guziczek.pl,http://www.zlobek-jaslo.pl,662828983,Jasielski
Niepubliczny Żłobek Słoneczny Zakątek,slonecznyzakatek@wp.pl,"http://www.slonecznyzakatek.pl, www.slonecznyzakatek-kolbuszowa.pl",535842400,Kolbuszowski
Żłobek Gminny w Mrowli,zlobek.mrowla@swilcza.com.pl,zlobek-mrowla.pl,503407723,Rzeszowski
Żłobek Miejski w Leżajsku,zlobek@miastolezajsk.pl,http://www.zlobeklezajsk.pl,172401064,Leżajski
Dwujęzyczny Żłobek Niepubliczny Mistrzowie Zabawy,jolanta.kordas.mistrzowiezabawy@gmail.com,https://www.przedszkolemistrzowiezabawy.mielec.pl/,506581688,Mielecki
Żłobek Maluszkowo,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517515555,Rzeszowski
Filia Żłobka Miejskiego nr 7 w Mielcu,filiazlobek7@zlobki.mielec.pl,http://zlobki.mielec.pl/,177874675,Mielecki
U cioci Lidzi,r_lidia@vp.pl,,692640687,Mielecki
GMINNY ŻŁOBEK IM. WŁADYSŁAWY MARKIEWICZÓWNY W GŁOWIENCE,zlobek@miejscepiastowe.pl,http://www.miejscepiastowe.pl,133073560,Krośnieński
Niepubliczny Żłobek Entliczek Pentliczek,akademia.entliczek@gmail.com,https://akademia-entliczek.pl/zlobek/,517079360,Rzeszów
Żłobek Mieleckie smerfy,przedszkole@mieleckiesmerfy.pl,mieleckiesmerfy.pl,661252625,Mielecki
Żłobek Samorządowy Nr 2,dyrektor@zlobek2.sanok.pl,http://www.zs2-sanok.ires.pl,134632929,Sanocki
Żłobek Miejski w Lubaczowie,sekretariat@mp2.lubaczow.pl,http://www.lubaczow.pl,166329127,Lubaczowski
Żłobek Gminny w Dydni (brzozowski),zosdydnia@poczta.onet.pl,https://zlobekdydnia.edupage.org/,134303253,Brzozowski
Żłobek Maluszkowo VI,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,500055522,Rzeszów
TĘCZOWA DOLINA AGNIESZKA WERESZCZYŃSKA,TECZOWADOLINA@POCZTA.FM,http://teczowadolina-brzostek.pl/,530189678,Dębicki
Prywatny żłobek ZIELONY MOTYLEK,JULIASZARGUT@ZIELONYMOTYLEK.PL,http://WWW.ZIELONYMOTYLEK.PL,698540532,Rzeszów
Żłobek Parafialny Niepubliczny Cherubinki w Zaczerniu,zlobekcherubinki@wp.pl,przedszkoleudominikanek.pl,723334199,Rzeszowski
Tęczowy oddział żłobkowy Zofia Zwolińska,zofia.zwolinska1@o2.pl,,511006901,Przemyski
Niepubliczny Parafialny Żłobek u Wojtusia,zlobekuwojtusia@gmail.com,http://www.parafia.trzebownisko.pl/,723728789,Rzeszowski
Żłobek Misie Tulisie Dębica,dyrektor.stalowawola@misietulisie.edu.pl,https://www.misietulisie.edu.pl,536000281,Dębicki
Gminny Żłobek w Korczynie,zlobek@korczyna.pl,http://www.korczyna.pl,134334654,Krośnieński
Żłobek Nr 4 SASANKA,zlobek4@mzz.resman.pl,mzz.resman.pl,177481138,Rzeszów
Music Garden Agata Tkaczow,przedszkolakimuzyczne@gmail.com,przedszkolemuzyczne.edu.pl,518239319,Rzeszów
Niepubliczny Żłobek Zaczarowany Domek,zaczarowanydomek1@gmail.com,,605415565,Ropczycko-sędziszowski
Klub Dziecięcy Magiczny Zakątek,magicznyzakateklipnica@gminadzikowiec.pl,http://gminadzikowiec.pl/,177479007,Kolbuszowski
Niepubliczny Żłobek Zosia Samosia,kontakt.zosiasamosia@gmail.com,https://www.facebook.com/Niepubliczny-%C5%BB%C5%82obek-Zosia-Samosia-101512834664896,535514540,Rzeszów
Gminny Żłobek Wesołe Maluchy w Rymanowie - Zdroju - Desznie  (Zespół Żłobków Gminy Rymanów),dyrektor.zlobek@rymanow.pl,http://www.rymanow.pl,732602708,Krośnieński
Żłobek w Markowej,zlobek@markowa.pl,http://www.markowa.pl,172831123,Łańcucki
Żłobek Maluszkowo VII,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,515055060,Rzeszów
Nowe miejsca opieki żłobkowej w Przeworsku,wssg@vp.pl,http://www.wssgprzeworsk.edu.pl,731776775,Przeworski
Gminny Żłobek nr 4,zlobek@glogow-mlp.pl,http://zlobek.glogow-mlp.pl/,177897243,Rzeszowski
Klub dziecięcy Mali odkrywcy - Joanna Żurawel,zuraweljoanna@gmail.com,http://www.maliodkrywcy.przemysl.pl,663061285,Przemyśl
Żłobek Miejski nr 1 w Tarnobrzegu,zlobek1@oswiata.tarnobrzeg.pl,http://zlobekmiejski.tarnobrzeg.pl/,"158151108,699887718",Tarnobrzeg
Akademia Maluszka Słodki Bobasek s.c,KONTAKT@SLODKIBOBASEK.PL,http://WWW.SLODKIBOBASEK.PL,695761799,Rzeszowski
Miejski Żłobek Radosny Zakątek,sekretariat@mz.jaroslaw.pl,http://mz.jaroslaw.pl/,167363665,Jarosławski
Kraina Maluszka,s.s.ostoja@gmail.com,http://www.zlobek-krainamaluszka.pl/,883633030,Przemyśl
Żłobek Parafialny im. św. Józefa w Głogowie Małopolskim,biuro@przedszkole.naniwie.pl,http://www.przedszkole.naniwie.pl,695169606,Rzeszowski
Gminny Żłobek w Łazach Dębowieckich,zlobek@lazydebowieckie.pl,zlobek.lazydebowieckie.pl,574474084,Jasielski
Niepubliczny Żłobek HAPPY KIDS,edycia171@wp.pl,http://www.happykids-kolbuszowa.pl,665548280,Kolbuszowski
Żłobek Tygrysek w Głuchowie,tygrysekbiuro@gmail.com,tygrysek-przedszkole.pl,785195063,Łańcucki
Kraina Malucha,zlobek.jagiellonska44@gmail.com,"Jagiellońska, 44, 38-500 Sanok",784637442,Sanocki
NIEPUBLICZNY ŻŁOBEK NR 2 TWÓRCZA KRAINA,kontakt@przedszkole-strzyzow.pl,,695639361,Strzyżowski
Żłobek Bajkolandia oddział Piskorowice,l.bajkolandia@interia.pl,http://bajkolandia.lezajsk.pl/,535084567,Leżajski
Żłobek Samorządowy w Radymnie,zlobek@radymno.pl,http://www.radymno.pl,531837333,Jarosławski
